A2:GROUP,B3:AGE,B5:SEX,B6:M-STATUS,B7:EDUCATION,B8:Household Size,C1:TOT_INCOME/A,C2:INCOME/B/FISH,C4:INCOME/B/ALT,D1.1:A_BIKE,D1.2:A_MOTORC,D1.3:A_TRICYCLE,D1.4:A_CAR,D1.5:A_JEEP,D1.6:A_TRUCK,D1.7:A_OTHERS,D2.1:A_TV,D2.2:A_DVD,D2.3:A_WASH-M,D2.4:A_AC,D2.5:A_E-FAN,D2.6:A_FRIDGE,D2.7:A_STOVE,D2.8:A_E-HEATER,D2.9:A_FURNITURE,D2.10:A_OTHERS,D3.1:A_CP,D3.2:A_LANDLINE,D3.3:A_COMPUTER,D3.4:A_OTHERS,E1:A_DRINK-H2O,E2:A_DOMESTIC-H2O,E3:A_POWER-SUP,E4:A_COOK-FUEL,E5:A_NET-SUBS,F1:A_HOUSE-OWN,F2:A_HOUSE-ACQ,F3:A_HOUSE-BUILT,F4:A_OTHER-RP,G1:A_SSS,G2:A_GSIS,G3:A_PhilHealth,G4:A_PN-IN,G5:A_LIFE-IN,G6:A_HEALTH-IN,D1.1:B_BIKE,D1.2:B_MOTORC,D1.3:B_TRICYCLE,D1.4:B_CAR,D1.5:B_JEEP,D1.6:B_TRUCK,D1.7:B_OTHERS,D2.1:B_TV,D2.2:B_DVD,D2.3:B_WASH-M,D2.4:B_AC,D2.5:B_E-FAN,D2.6:B_FRIDGE,D2.7:B_STOVE,D2.8:B_E-HEATER,D2.9:B_FURNITURE,D2.10:B_OTHERS,D3.1:B_CP,D3.2:B_LANDLINE,D3.3:B_COMPUTER,D3.4:B_OTHERS,E1:B_DRINK-H2O,E2:B_DOMESTIC-H2O,E3:B_POWER-SUP,E4:B_COOK-FUEL,E5:B_NET-SUBS,F1:B_HOUSE-OWN,F2:B_HOUSE-ACQ,F3:B_HOUSE-BUILT,F4:B_OTHER-RP,G1:B_SSS,G2:B_GSIS,G3:B_PhilHealth,G4:B_PN-IN,G5:B_LIFE-IN,G6:B_HEALTH-IN,H1:4Ps,H2:RET_P,H3:SPES,H4:AL_P,H5:TBE,H6:F_PC,H7:AS_P,H8:E/CW_P,I1:FD_Y,I2:A/C_M,I3:???,I4:TFA,I5:TFV,I6.1:GN,I6.2:FT,I6.3:PPN,I6.4:H&L,I6.5:OTHERS,I7.1:LIFE_J,I7.2:LIFE_B,I7.3:F_LIGHT,I7.4:CP,I7.5:OTHERS,I8.1:BAD_W,I8.2:FISH_R,I8.3:BOAT_P,I8.4:FISH_COMP,I8.5:OTHERS,NY_W/BOAT,BOAT_COND,J1:BOAT_AGREE,J2:BOAT_TYPE,J3:BOAT_DESIGN,J4:BOAT_COND
1,32,1,2,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,4,4,2,0,4,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,4,4,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,12,4,3,3,7,5
1,51,0,1,2,4,1,3,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,2,0,0,4,1,0,4,1,3,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,2,0,0,4,0,0,5,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,12,4,3,3,7,5
1,37,1,1,2,3,1,2,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,4,1,2,0,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,4,0,2,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,12,4,3,3,7,5
1,28,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,4,2,0,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,4,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,12,4,3,3,7,5
1,51,1,1,2,3,1,2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,4,1,2,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,4,0,2,0,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,12,4,3,3,7,5
1,62,1,1,2,4,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,4,2,0,4,1,3,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,4,1,0,5,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,4,3,3,7,5
1,31,1,1,2,3,1,2,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,4,1,2,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,4,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,12,4,3,3,7,5
1,31,1,1,2,4,1,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,4,1,2,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,4,1,2,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,12,4,3,3,7,5
1,58,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,0,4,1,0,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,0,4,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,12,4,3,3,7,5
1,39,1,2,2,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,4,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,12,4,3,3,7,5
1,42,0,1,2,3,1,2,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,4,1,0,4,2,3,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,4,0,0,5,2,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,3,0,4,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,12,4,3,3,7,5
1,22,1,1,5,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,4,2,0,4,1,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,4,1,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,12,4,3,3,7,5
1,51,1,2,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,4,1,0,4,2,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,4,0,0,5,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,12,4,3,3,7,5
1,37,1,0,2,3,1,2,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,12,4,3,3,7,5
1,71,1,1,2,3,1,2,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,2,1,0,4,1,0,1,1,3,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,2,1,0,4,0,0,2,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,12,4,3,3,7,5
1,37,1,1,2,3,2,3,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,0,4,1,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,2,1,0,4,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,12,4,3,3,7,5
1,63,1,1,2,3,1,2,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,4,1,0,4,1,3,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,2,1,0,4,0,0,5,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,3,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,12,4,3,3,7,5
1,39,1,1,2,3,1,2,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,0,1,2,3,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,4,0,0,2,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,12,4,3,3,7,5
1,24,1,2,0,3,1,2,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,2,1,0,4,1,0,4,0,2,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,2,1,0,1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,12,4,3,3,7,5
1,51,0,1,2,4,1,2,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,2,1,0,4,1,0,4,1,3,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,2,1,0,4,0,0,5,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,12,4,3,3,7,5
1,25,0,0,2,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,0,4,1,0,1,1,3,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,0,4,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,12,4,3,3,7,5
1,44,0,1,0,3,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,4,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,3,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,12,4,3,3,7,5
1,63,1,1,1,3,1,2,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,4,1,0,1,1,3,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,2,1,0,4,0,0,2,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,12,4,3,3,7,5
1,22,0,2,2,3,1,2,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,2,1,1,4,1,0,1,2,3,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,2,1,1,4,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,12,4,3,3,7,5
1,64,1,1,2,3,1,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,1,0,2,3,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,0,1,0,2,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,3,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,12,4,3,3,7,5
1,61,1,1,1,3,1,2,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,0,1,1,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,12,4,3,3,7,5
1,37,1,0,2,3,1,2,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,4,1,0,1,2,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,4,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,12,4,3,3,7,5
1,70,1,1,2,3,2,3,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,2,1,0,1,1,0,4,1,2,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,2,1,0,1,0,0,5,1,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,3,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,12,4,3,3,7,5
1,44,1,1,1,3,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,4,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,12,4,3,3,7,5
1,51,1,1,2,3,1,2,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,0,1,1,2,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,2,1,0,4,0,0,2,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,12,4,3,3,7,5
1,43,1,1,1,3,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,0,1,1,2,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,2,1,0,4,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,12,4,3,3,7,5
1,42,1,1,1,3,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,12,4,3,3,7,5
1,33,0,1,2,3,1,2,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,2,1,1,3,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,3,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,12,4,3,3,7,5
0,64,1,1,2,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,3,1,0,4,1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,3,0,0,5,1,6,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,2,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,6,0,0,0,2,2
0,75,1,3,1,1,1,2,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,2,1,0,4,1,2,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,2,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,2,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,5,0,0,0,2,2
0,48,1,1,1,3,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,0,4,1,2,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,4,0,0,5,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,5,0,0,0,2,2
0,52,1,1,1,3,2,3,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,2,0,3,4,1,0,4,0,2,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,2,0,0,1,1,0,5,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,3,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,5,0,0,0,2,2
0,38,1,1,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,4,1,2,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,2,1,1,4,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,3,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,5,0,0,0,2,2
0,81,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,0,4,2,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,1,4,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4,0,0,0,2,2
0,50,1,1,1,3,1,2,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,4,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,2,1,0,1,0,0,4,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,4,0,0,0,2,2
0,50,0,3,1,3,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,4,1,0,4,2,2,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,4,0,0,5,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,4,0,0,0,2,2
0,51,1,1,2,3,1,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,0,4,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,4,0,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,5,0,0,0,2,2
0,37,1,1,1,4,1,2,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,4,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,4,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,4,1,1,0,2,1
0,36,1,1,2,3,1,3,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,0,1,1,3,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,4,0,0,2,1,6,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,4,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,5,0,0,0,0,2
0,35,1,1,2,3,1,3,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,4,1,2,0,2,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,2,1,0,4,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,4,0,0,0,2,2
0,52,1,1,1,3,1,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,4,1,0,4,2,3,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,4,0,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,5,0,0,0,2,2
0,37,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,4,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,4,0,1,0,2,2
0,58,1,1,0,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,4,1,0,4,1,2,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,2,1,0,3,0,0,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,4,1,1,0,2,1
0,57,1,1,2,3,1,3,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,4,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,4,0,2,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,4,0,1,0,2,2
0,49,1,1,1,4,1,2,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,4,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,3,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,4,0,1,0,2,2
0,38,1,1,1,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,4,1,2,0,1,3,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,3,0,2,0,1,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,4,1,1,0,2,1
0,44,1,1,1,3,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,4,1,0,4,2,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,4,0,0,5,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,6,0,1,0,2,2
0,64,1,1,1,4,1,2,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,0,0,4,1,0,4,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,0,0,4,0,0,5,2,5,0,0,0,0,0,0,1,1,0,1,1,0,0,1,2,2,3,4,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,6,1,1,0,2,1
0,63,1,1,1,3,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,4,1,2,0,1,2,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,2,0,0,4,0,2,0,1,5,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,2,2,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,6,0,1,0,2,2
0,55,1,1,1,3,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,4,1,0,4,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,3,2,4,4,0,0,5,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,3,0,2,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,6,0,1,0,2,1
